# Magboltz simulation for gasfile/He(96)+CO2(4)_1000.gas 
# Simulation date: 2018/12/ 8 16:31

# E(V/cm)     v(cm/us)    d_t(cm^(0.5))    d_l(cm^(0.5))   town_a(/cm)    attach(/cm) 
100.000000    0.525330    290.393619       267.335521      0.000000       0.000000 
148.717949    0.719150    265.061891       228.122720      0.000000       0.000000 
197.435898    0.888711    252.709468       226.934428      0.000000       0.000000 
246.153846    1.041588    245.910230       203.439236      0.000000       0.000000 
294.871795    1.176685    242.343221       206.324771      0.000000       0.000000 
343.589744    1.298563    240.774980       202.549407      0.000000       0.000000 
392.307692    1.408660    240.661121       192.911373      0.000000       0.000000 
441.025641    1.506693    241.787664       201.186571      0.000000       0.000000 
489.743590    1.591818    243.981514       191.491352      0.000000       0.000000 
538.461539    1.667451    247.069592       185.641953      0.000000       0.000000 
587.179487    1.729131    251.194387       185.675705      0.000000       0.000000 
635.897436    1.781148    255.921375       179.312362      0.000000       0.000000 
684.615385    1.825861    261.124560       180.947799      0.000000       0.000000 
733.333333    1.860431    266.888494       172.464367      0.000000       0.000000 
782.051284    1.886559    273.011930       177.444766      0.000000       0.000000 
830.769235    1.909963    279.227323       183.550851      0.000000       0.000000 
879.487178    1.928124    285.560202       173.100090      0.000000       0.000000 
928.205128    1.943721    291.562823       183.548131      0.000000       0.000000 
976.923079    1.957886    297.424041       185.009370      0.000000       0.000000 
1025.641022    1.968013    303.064240       191.986595      0.000000       0.000000 
1074.358973    1.979913    308.221784       191.624516      0.000000       0.000000 
1123.076924    1.992107    312.966971       193.508577      0.000000       0.000000 
1171.794874    2.003533    317.237443       196.370175      0.000000       0.000000 
1220.512817    2.021057    320.847467       200.830475      0.000000       0.000000 
1269.230768    2.034036    324.248290       204.134042      0.000000       0.000000 
1317.948719    2.051402    327.121520       212.035051      0.000000       0.000000 
1366.666669    2.069974    329.452400       215.010904      0.000000       0.000000 
1415.384613    2.087699    331.600231       221.697763      0.000000       0.000000 
1464.102563    2.112558    333.033915       225.954991      0.000000       0.000000 
1512.820514    2.132413    334.524809       221.956726      0.000000       0.000000 
1561.538465    2.159418    335.531947       225.146499      0.000000       0.000000 
1610.256408    2.178357    336.601915       226.960687      0.000000       0.000000 
1658.974358    2.207111    337.146164       234.367866      0.000000       0.000000 
1707.692309    2.230041    337.752926       233.026381      0.000000       0.000000 
1756.410260    2.256020    338.266779       240.542277      0.000000       0.000000 
1805.128203    2.287234    338.281583       246.675692      0.000000       0.000000 
1853.846154    2.312855    338.702583       245.473496      0.000000       0.000000 
1902.564104    2.342081    338.803295       246.785173      0.000000       0.000000 
1951.282055    2.374730    338.621549       249.082612      0.000000       0.000000 
1999.999998    2.403914    338.758565       247.504025      0.000000       0.000000 
